"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"11",-9.32106750948863,-10.8396182359472,-11,-6.05912322817986,-10.1318995771759,-5.24942546554272,-5.18735838932473,-9.33522243493797,-8.72369942242086,-5.57397147722559,-6.28776964246617,-8.48758402476229,-2.45922247423422,3.40222921123232,-0.264195660160482,-0.149443083074074,-8.12653530474931,-2.52367811586442,-0.253584373319731,-6.46064001369812,0.326849990330713,4.28848999298893,-3.60530288595585,-3.68728087401403,-0.876064679562227,-3.02862704503602,2.07436574364798,0.904516877252657,-4.78601826451958,-10.2802722069814,-5.04497435021554,-0.421594761708454,8.50769198412082,-7.74703973947376,1.97166025427788,-6.63353064188422,-6.7459873113867,-6.28925095090857,-5.74155209007832,2.56345257220072,-9.42562797549329,4.60167736147836,-4.16659548915484,-9.96607864381104,-1.11610770131804
"12",-10.2374325725001,-11.8417018661159,-12,-6.72418024370306,-11.1632720883234,-5.8574478617386,-6.12935025583898,-10.3361219227303,-9.73443494101325,-6.4862867273246,-6.91932368967695,-9.43150553234308,-3.40484455559698,4.11498667415337,-0.341319802983852,-2.10669847466115,-9.12029264868829,-3.660650157607,-0.735478886892486,-7.09548089268515,3.08482382585445,4.9288329756514,-4.18375023615318,-4.5032874704175,-2.03455230877447,-5.25738694476707,1.82012550035481,1.08408146938903,-5.36794489631002,-11.3136065611364,-6.2558302023342,-1.69163873966823,9.46105455212072,-5.35570728038274,2.4769272315301,-6.59982937138242,-8.09469421779782,-6.69586638600175,-6.79533020822303,2.22744816318243,-10.3409358814495,5.38258262987387,-3.56374062277178,-10.8921314721001,-0.798326041433022
"13",-11.374134880839,-12.860555456319,-13,-7.73861372158885,-12.1520353985056,-6.87008735274089,-7.24628321477212,-11.4551752719218,-10.5533718397947,-7.25076274480043,-8.09527045312305,-10.3971692384243,-5.10599674876438,4.85360383065601,-1.27505232074078,-3.3974556408851,-10.3514941851349,-4.25316755643625,-1.29402294272245,-7.95901151273142,4.53299968365251,5.24687139727914,-3.97295128574979,-5.24076781019393,-1.56187911781204,-6.16239456708562,2.03905586610653,0.900805625305118,-7.10067604694629,-12.3658133734032,-7.7497509951527,-0.779071093281144,7.077028579973,-6.18245517191862,1.68170930870813,-8.07848212811705,-9.08643910544073,-7.49821960655185,-7.6678261037799,2.6251259926461,-11.2527430794773,6.16564175650207,-3.58391096443362,-11.8331753018838,-2.39099453783638
"14",-12.3108863571818,-13.859897327624,-14,-8.48771357751945,-13.15956065194,-7.67218716881642,-8.30294316524179,-12.4423875683956,-8.91946111053799,-8.14027495591137,-8.99384954846072,-11.2149587770327,-6.29554711052761,5.36878734251904,-2.4786417132262,-4.0452661929712,-11.3378370481546,-2.92782322586377,-1.80760434737113,-9.09168667046136,5.06096916416728,6.38213404642482,-4.78316747765911,-6.26654737645661,-1.99522481174394,-7.24611486842803,1.94990821931992,1.05165410033299,-7.27280240122261,-13.3918051809957,-9.38290654022702,-1.80189264424397,7.90160876435335,-7.63429665759173,2.95091803297118,-9.34373794810878,-10.008335060832,-8.18551215084351,-8.85099468898599,3.47463786237292,-12.2587210285654,7.35982674467544,-4.76114065781245,-12.868455462218,-2.9355008988503
"15",-11.2742076729304,-13.7750951663647,-15,-9.20308280856529,-14.115822977775,-6.48595052043117,-9.17599587211816,-12.5700665324538,-7.05354169072635,-7.77641627766663,-9.22767214706619,-10.3425167780872,-6.75611943826003,6.08091404806299,-2.7640686837441,-1.78420694364304,-10.8143936736961,-0.897661878584586,-2.19572324913672,-9.04565785901515,7.34827091285388,6.31789039034271,-3.58569903566508,-5.39285783503185,0.134090318598642,-6.77525655321941,2.88471349843067,3.35496354503058,-7.84745595477003,-14.3624913412567,-7.3056031606803,-0.914117681091236,7.54776807519466,-7.6017500902266,3.65176012549441,-10.4940729881027,-11.1507596071863,-7.0541896783788,-9.65016152527533,4.78038799848649,-10.9722677233783,9.71272142769449,-2.64552579251172,-13.7998724980772,-2.23571796118409
"16",-12.1895868878436,-14.756015915905,-16,-9.38171250048244,-15.1024633180489,-7.24217263482774,-10.2219483272269,-13.5313492966622,-7.73940060048006,-8.9976205513969,-10.0290568314216,-11.3187722009591,-7.78375876866623,6.90889375086299,-3.30711333147796,-2.01029591879963,-12.1517015433831,-1.30383907606267,-1.53244491633258,-9.81597856615096,9.11913619753874,6.03299092517314,-4.69823739595153,-5.94190241213678,0.27865564326457,-6.09419474600886,2.99242644026132,2.82292462510128,-8.85771234233416,-15.368914828502,-8.57838696758319,-0.957196446819299,7.90109625546527,-8.14922467067461,3.83635675434381,-11.7290320002497,-12.3701757238732,-8.08815282042937,-10.7932369817664,4.71170546294937,-11.9860142230145,11.077554248529,-1.62554617631702,-12.4158847878751,-2.44656994447874
"17",-13.0992217319907,-15.7215242427334,-17,-8.66823004940366,-16.0683986017465,-7.51194890154022,-11.7124015389461,-14.459056457876,-7.88948951736029,-9.81907632715548,-11.0711911094782,-12.1173920689271,-8.40012123183196,8.58565289155007,-4.25203040758531,-1.3090674033285,-12.6922680591848,-0.184069411189099,-2.45122983516935,-10.7624767270497,10.5478983197626,5.71934116015696,-5.57062392537429,-6.8780933471452,0.478953515094089,-7.11380184363653,3.22654494889138,3.72976425156207,-9.57752760445147,-16.3853325917402,-8.86537585096321,-0.761679413550089,4.90905378547292,-8.70511023841157,4.41652005767256,-13.0771182944024,-13.2199584562853,-9.19131091978253,-11.65497823402,5.41296404154311,-12.8535256507386,11.3972343221978,0.134776622120351,-13.4435959399203,-2.16974441616645
"18",-13.9297611107248,-16.6863335109168,-18,-9.42564273285863,-17.0787297044827,-8.24659357230967,-12.8546026260301,-15.4991696974751,-7.09338862753429,-11.0302215430724,-12.2948377516983,-9.50384988402558,-9.11125635099178,10.6493745043914,-5.71357448555142,-0.490334381605504,-13.7547936378649,0.134347816594942,-3.07713071619985,-11.6583441139512,11.2750746600364,5.1299318856238,-6.68945295799744,-7.88337537620491,0.28138345836914,-8.32733817063612,2.20971300229281,4.36901706251522,-10.6068501912155,-17.3787525218155,-9.87919358247823,-1.29064837296818,5.16648945021445,-9.68665415104433,5.05816623686066,-14.3463565042003,-13.4219147708315,-9.24913038944164,-12.5350616070164,4.13324755112269,-13.8772726929803,12.2140853503576,0.951973017756018,-14.3241677930551,-3.68621532095282
"19",-14.8139280107341,-16.9245987116759,-19,-8.45225460010499,-18.0310914647104,-6.53354839795852,-13.5771339089775,-16.4672095526586,-6.97646622813255,-10.6741803598253,-12.6568420542039,-7.42073445776322,-8.72139931208731,12.6607322148017,-4.35173955700967,1.67794319512051,-12.8816522043405,0.979025659564606,-1.68788576546671,-12.3125848323352,12.2061491472047,6.29153961834984,-5.95918870813179,-7.25274740105586,0.799681652529518,-8.02392573207437,2.74236204504139,6.47768272868271,-11.5412646698596,-18.3774236553569,-10.6041515182707,1.00421150495496,6.10195354892979,-8.3785094071369,6.13868513754613,-15.4259222087316,-14.1511181631765,-8.09854266462106,-13.1767668911916,6.00165182033056,-14.6590921579482,13.4033825201771,0.905113353105246,-14.0420796872926,-2.94457160486816
"20",-16.1689052110812,-17.9868679126675,-20,-8.69049700929493,-19.0506997505809,-8.1754549713454,-14.8529683858676,-17.5153302134026,-8.18979252914569,-11.7446048831575,-13.9957695537746,-8.26218231932177,-10.0911618995611,13.8938521803259,-6.11286225865411,3.69710015077112,-14.784172462478,-0.595578530630193,-2.80513668077766,-13.6984649157188,13.1674122286532,5.9504872508516,-7.7289272170438,-8.24127613738105,-0.394640722886933,-8.77187330259434,1.30924451882209,6.34588002009892,-12.5348935162478,-19.386790826016,-12.330811617017,-0.997804501951477,6.98773129829993,-8.12721926531609,4.08368719173846,-15.9533750191141,-15.0926832181216,-9.39405701420124,-14.6348304761482,4.77423019179141,-15.7596942502324,14.2932622693584,0.905681165322615,-15.1966365335488,-5.31919846546918
